Afghanistan,25371,1052,7478,296,7168,3125,3144,4372,717,2764,25968,8312,6286,13837,30644,12218,2449,588,810,687,3931,1077,609,4502,1873,2517,11108,14025
Ireland,4238.0,236.0,583.0,870.0,378.0,1.0,303.0,10.0,93.0,265.0,0.0,308.0,3617.0,2199.0,608.0,2001.0,1.0,303.0,189.0,0.0,0.0,1.0,0.0,596.0,427.0,18.0,1592.0,55.0
Israel,6198.0,482.0,1600.0,572.0,258.0,13.0,377.0,49.0,153.0,19.0,1.0,87.0,3698.0,6443.0,2828.0,4294.0,8.0,275.0,311.0,0.0,1.0,4.0,1.0,2648.0,696.0,30.0,1740.0,98.0
Italy,110155.0,13669.0,24632.0,22419.0,12496.0,98.0,6198.0,537.0,2064.0,4929.0,28.0,14001.0,56648.0,65721.0,33210.0,60219.0,56.0,3904.0,7613.0,0.0,2.0,8.0,2.0,29386.0,10768.0,234.0,35438.0,371.0
Jamaica,3884.0,436.0,629.0,400.0,652.0,57.0,229.0,73.0,509.0,31.0,331.0,690.0,1054.0,3410.0,1454.0,2796.0,33.0,55.0,67.0,0.0,2.0,4.0,4.0,1102.0,501.0,37.0,851.0,271.0
Japan,179952.0,37277.0,25626.0,36591.0,26731.0,456.0,13051.0,1635.0,4206.0,11679.0,30.0,8577.0,132467.0,127178.0,52082.0,46108.0,157.0,8074.0,9776.0,0.0,14.0,10.0,8.0,49306.0,15368.0,688.0,55747.0,330.0
Jordan,7360.0,260.0,2009.0,73.0,1299.0,30.0,927.0,40.0,82.0,238.0,2.0,868.0,3572.0,5804.0,3625.0,6141.0,13.0,74.0,153.0,0.0,31.0,29.0,11.0,3565.0,642.0,34.0,3087.0,904.0
Kazakhstan,38439.0,4118.0,7709.0,7309.0,3431.0,21.0,3152.0,143.0,748.0,3248.0,239.0,469.0,12415.0,10379.0,13401.0,10413.0,19.0,2699.0,363.0,1.0,55.0,47.0,8.0,12694.0,1170.0,32.0,12751.0,1221.0
Kenya,24539.0,2477.0,1988.0,12824.0,5199.0,9012.0,1703.0,5827.0,28898.0,1021.0,26273.0,4424.0,7721.0,13790.0,29982.0,10382.0,7588.0,2712.0,1724.0,340.0,2304.0,1064.0,582.0,3571.0,980.0,7499.0,3681.0,13069.0
Kiribati,120.0,23.0,42.0,10.0,31.0,28.0,44.0,19.0,22.0,5.0,124.0,23.0,167.0,207.0,137.0,164.0,21.0,12.0,1.0,1.0,3.0,1.0,1.0,11.0,23.0,11.0,57.0,34.0
Kuwait,2333.0,178.0,660.0,19.0,304.0,2.0,375.0,5.0,19.0,179.0,0.0,76.0,1262.0,1721.0,1771.0,1969.0,0.0,64.0,82.0,0.0,6.0,5.0,1.0,1765.0,282.0,12.0,1384.0,120.0
Kyrgyzstan,8500.0,1121.0,2387.0,2149.0,1472.0,33.0,1284.0,72.0,310.0,1275.0,3142.0,313.0,4265.0,2031.0,5465.0,3045.0,34.0,715.0,99.0,1.0,81.0,27.0,8.0,2234.0,316.0,27.0,3668.0,823.0
Laos,9163.0,2118.0,538.0,2013.0,1416.0,571.0,1419.0,599.0,498.0,271.0,6810.0,1104.0,5281.0,4041.0,9234.0,1950.0,458.0,331.0,202.0,14.0,403.0,234.0,54.0,2361.0,182.0,494.0,2893.0,2162.0
Latvia,8768.0,594.0,1382.0,1730.0,1028.0,1.0,458.0,7.0,175.0,624.0,80.0,450.0,2343.0,2648.0,1581.0,3016.0,0.0,201.0,138.0,0.0,1.0,0.0,0.0,1491.0,349.0,4.0,3605.0,17.0
Lebanon,6187.0,185.0,1769.0,206.0,322.0,64.0,1109.0,32.0,88.0,28.0,11.0,105.0,4893.0,5464.0,2971.0,4509.0,8.0,87.0,247.0,0.0,18.0,15.0,2.0,2838.0,619.0,66.0,2512.0,224.0
Lesotho,2303.0,137.0,96.0,1097.0,829.0,1007.0,409.0,492.0,6202.0,64.0,2075.0,684.0,1814.0,1612.0,2473.0,1607.0,854.0,177.0,84.0,28.0,303.0,139.0,24.0,379.0,71.0,772.0,289.0,858.0
Liberia,3675.0,264.0,322.0,891.0,791.0,1307.0,189.0,848.0,1551.0,131.0,4057.0,858.0,477.0,1773.0,4602.0,1816.0,1049.0,79.0,134.0,45.0,596.0,171.0,153.0,536.0,178.0,943.0,781.0,2956.0
Libya,9069.0,276.0,2240.0,146.0,975.0,36.0,1377.0,38.0,226.0,608.0,14.0,815.0,3663.0,4305.0,4540.0,5849.0,23.0,314.0,344.0,0.0,26.0,6.0,8.0,4441.0,649.0,39.0,3541.0,475.0
Lithuania,12027.0,866.0,2040.0,1843.0,1080.0,4.0,530.0,8.0,235.0,1097.0,21.0,553.0,3578.0,3157.0,1741.0,3996.0,2.0,324.0,221.0,0.0,1.0,1.0,0.0,1707.0,756.0,6.0,5567.0,18.0
Luxembourg,649.0,50.0,98.0,196.0,62.0,1.0,39.0,10.0,11.0,51.0,0.0,57.0,454.0,399.0,102.0,316.0,0.0,44.0,56.0,0.0,0.0,0.0,0.0,87.0,49.0,2.0,227.0,5.0
